1,0.051
2,0.053
3,0.051
4,0.043
5,0.045
6,0.049
7,0.050
8,0.044
9,0.048
10,0.050
11,0.043
12,0.050
13,0.049
14,0.043
15,0.052
16,0.048
17,0.044
18,0.048
19,0.047
20,0.043
21,0.047
22,0.046
23,0.043
24,0.051
25,0.046
26,0.044
27,0.048
28,0.049
29,0.043
30,0.051
31,0.047
32,0.045
33,0.049
34,0.048
35,0.043
36,0.049
37,0.048
38,0.044
39,0.047
40,0.048
41,0.044
42,0.049
43,0.049
44,0.044
45,0.050
46,0.046
47,0.043
48,0.045
49,0.046
50,0.041
51,0.048
52,0.047
53,0.043
54,0.049
55,0.047
56,0.044
57,0.049
58,0.046
59,0.043
60,0.049
61,0.046
62,0.044
63,0.055
64,0.048
65,0.046
66,0.049
67,0.048
68,0.042
69,0.050
70,0.046
71,0.043
72,0.049
73,0.048
74,0.044
75,0.050
76,0.048
77,0.044
78,0.048
79,0.047
80,0.043
81,0.049
82,0.046
83,0.043
84,0.052
85,0.047
86,0.044
87,0.047
88,0.045
89,0.044
90,0.050
91,0.049
92,0.045
93,0.045
94,0.048
95,0.044
96,0.048
97,0.045
98,0.043
99,0.046
100,0.045
101,0.044
102,0.047
103,0.045
104,0.042
105,0.049
106,0.047
107,0.045
108,0.046
109,0.046
110,0.043
111,0.047
112,0.046
113,0.043
114,0.049
115,0.046
116,0.043
117,0.048
118,0.045
119,0.043
120,0.050
121,0.043
122,0.044
123,0.048
124,0.047
125,0.043
126,0.051
127,0.048
128,0.044
129,0.048
130,0.047
131,0.043
132,0.044
133,0.046
134,0.043
135,0.048
136,0.048
137,0.043
138,0.047
139,0.046
140,0.046
141,0.051
142,0.044
143,0.043
144,0.093
145,0.062
146,0.067
147,0.049
148,0.057
149,0.067
150,0.054
151,0.048
152,0.054
153,0.045
154,0.044
155,0.051
156,0.043
157,0.044
158,0.050
159,0.043
160,0.045
161,0.048
162,0.046
163,0.045
164,0.045
165,0.045
166,0.044
167,0.046
168,0.046
169,0.047
170,0.045
171,0.050
172,0.043
173,0.052
