Iteration,Time (ms)
1,0.137
2,0.123
3,0.124
4,0.122
5,0.126
6,0.122
7,0.13
8,0.121
9,0.125
10,0.123
11,0.122
12,0.121
13,0.124
14,0.124
15,0.12
16,0.122
17,0.119
18,0.121
19,0.12
20,0.125
21,0.122
22,0.121
23,0.133
24,0.123
25,0.158
26,0.129
27,0.127
28,0.123
29,0.122
30,0.12
31,0.125
32,0.122
33,0.119
34,0.124
35,0.119
36,0.123
37,0.12
38,0.119
39,0.122
40,0.123
41,0.121
42,0.123
43,0.12
44,0.122
45,0.12
46,0.121
47,0.122
48,0.123
49,0.125
50,0.12
51,0.122
52,0.12
53,0.122
54,0.119
55,0.124
56,0.122
57,0.12
58,0.121
59,0.121
60,0.12
61,0.122
62,0.124
63,0.123
64,0.122
65,0.122
66,0.125
67,0.122
68,0.119
69,0.122
70,0.121
71,0.12
72,0.119
73,0.124
74,0.119
75,0.123
76,0.123
77,0.121
78,0.122
79,0.12
80,0.122
81,0.121
82,0.124
83,0.121
84,0.122
85,0.119
86,0.123
87,0.124
88,0.122
89,0.121
90,0.122
91,0.119
92,0.123
93,0.124
94,0.156
95,0.158
96,0.132
97,0.12
98,0.125
99,0.122
100,0.119
101,0.124
102,0.121
103,0.122
104,0.121
105,0.118
106,0.119
107,0.126
108,0.12
109,0.121
110,0.118
111,0.124
112,0.123
113,0.12
114,0.121
115,0.121
116,0.117
117,0.121
118,0.122
119,0.122
120,0.12
121,0.124
122,0.12
123,0.123
124,0.121
125,0.122
126,0.117
127,0.129
128,0.132
129,0.129
130,0.123
131,0.124
132,0.121
133,0.122
134,0.128
135,0.12
136,0.119
137,0.121
138,0.124
139,0.119
140,0.121
141,0.119
142,0.122
143,0.119
144,0.122
145,0.121
146,0.122
147,0.123
148,0.121
149,0.12
150,0.124
151,0.121
152,0.121
153,0.12
154,0.122
155,0.12
156,0.12
157,0.118
158,0.122
159,0.12
160,0.121
161,0.121
162,0.121
163,0.152
164,0.156
165,0.128
166,0.12
167,0.12
168,0.123
169,0.12
170,0.122
171,0.119
172,0.122
173,0.121
174,0.121
175,0.117
176,0.118
177,0.12
178,0.123
179,0.123
180,0.121
181,0.122
182,0.121
183,0.125
184,0.123
185,0.119
186,0.12
187,0.122
188,0.12
189,0.121
190,0.121
191,0.125
192,0.122
193,0.12
194,0.122
195,0.122
196,0.118
197,0.119
198,0.121
199,0.119
200,0.12
201,0.121
202,0.125
203,0.122
204,0.12
205,0.12
206,0.123
207,0.122
208,0.12
209,0.135
210,0.124
211,0.121
212,0.127
213,0.118
214,0.125
215,0.119
216,0.121
217,0.118
218,0.125
219,0.127
220,0.123
221,0.124
222,0.121
223,0.12
224,0.12
225,0.12
226,0.123
227,0.121
228,0.123
229,0.121
230,0.121
231,0.121
232,0.139
233,0.148
234,0.143
235,0.125
236,0.123
237,0.12
238,0.121
239,0.125
240,0.123
241,0.12
242,0.12
243,0.12
244,0.118
245,0.123
246,0.121
247,0.123
248,0.122
249,0.121
250,0.118
251,0.12
252,0.119
253,0.121
254,0.122
255,0.121
256,0.12
257,0.121
258,0.12
259,0.122
260,0.118
261,0.123
262,0.119
263,0.126
264,0.126
265,0.121
266,0.121
267,0.121
268,0.12
269,0.122
270,0.117
271,0.121
272,0.125
273,0.121
274,0.123
275,0.12
276,0.12
277,0.119
278,0.125
279,0.125
280,0.125
281,0.124
282,0.117
283,0.12
284,0.119
285,0.121
286,0.121
287,0.12
288,0.121
289,0.122
290,0.122
291,0.123
292,0.12
293,0.121
294,0.12
295,0.121
296,0.12
297,0.121
298,0.124
299,0.12
300,0.122
301,0.121
302,0.158
303,0.138
304,0.123
305,0.121
306,0.12
307,0.119
308,0.121
309,0.119
310,0.118
311,0.123
312,0.12
313,0.123
314,0.12
315,0.125
316,0.121
317,0.124
318,0.118
319,0.122
320,0.12
321,0.122
