Iteration,Time (ms)
1,0.155
2,0.125
3,0.126
4,0.122
5,0.123
6,0.119
7,0.131
8,0.122
9,0.12
10,0.125
11,0.133
12,0.128
13,0.126
14,0.126
15,0.123
16,0.125
17,0.121
18,0.125
19,0.122
20,0.133
21,0.124
22,0.121
23,0.124
24,0.123
25,0.137
26,0.135
27,0.128
28,0.12
29,0.123
30,0.122
31,0.122
32,0.128
33,0.122
34,0.122
35,0.121
36,0.126
37,0.121
38,0.122
39,0.121
40,0.125
41,0.122
42,0.123
43,0.125
44,0.124
45,0.123
46,0.129
47,0.122
48,0.126
49,0.131
50,0.126
51,0.127
52,0.126
53,0.127
54,0.127
55,0.124
56,0.124
57,0.126
58,0.125
59,0.121
60,0.118
61,0.123
62,0.123
63,0.121
64,0.123
65,0.125
66,0.122
67,0.121
68,0.131
69,0.116
70,0.122
71,0.124
72,0.123
73,0.124
74,0.122
75,0.12
76,0.128
77,0.121
78,0.127
79,0.119
80,0.124
81,0.12
82,0.124
83,0.12
84,0.123
85,0.123
86,0.122
87,0.127
88,0.126
89,0.12
90,0.126
91,0.123
92,0.122
93,0.123
94,0.135
95,0.141
96,0.129
97,0.123
98,0.131
99,0.126
100,0.121
101,0.128
102,0.12
103,0.122
104,0.127
105,0.122
106,0.124
107,0.127
108,0.121
109,0.121
110,0.122
111,0.125
112,0.125
113,0.126
114,0.12
115,0.123
116,0.122
117,0.122
118,0.121
119,0.123
120,0.12
121,0.127
122,0.125
123,0.125
124,0.123
125,0.121
126,0.12
127,0.137
128,0.142
129,0.116
130,0.124
131,0.126
132,0.122
133,0.126
134,0.125
135,0.121
136,0.124
137,0.121
138,0.13
139,0.122
140,0.121
141,0.12
142,0.124
143,0.126
144,0.126
145,0.121
146,0.126
147,0.129
148,0.125
149,0.125
150,0.124
151,0.121
152,0.123
153,0.122
154,0.124
155,0.123
156,0.127
157,0.121
158,0.124
159,0.119
160,0.126
161,0.125
162,0.122
163,0.125
164,0.14
165,0.126
166,0.123
167,0.12
168,0.12
169,0.123
170,0.12
171,0.123
172,0.119
173,0.124
174,0.12
175,0.122
176,0.121
177,0.126
178,0.122
179,0.126
180,0.124
181,0.121
182,0.123
183,0.132
184,0.122
185,0.125
186,0.122
187,0.124
188,0.124
189,0.124
190,0.119
191,0.126
192,0.13
193,0.127
194,0.125
195,0.124
196,0.125
197,0.126
198,0.126
199,0.122
200,0.124
201,0.123
202,0.122
203,0.124
204,0.129
205,0.128
206,0.121
207,0.118
208,0.124
209,0.123
210,0.133
211,0.127
212,0.134
213,0.123
214,0.139
215,0.122
216,0.125
217,0.12
218,0.122
219,0.131
220,0.13
221,0.122
222,0.126
223,0.12
224,0.119
225,0.121
226,0.123
227,0.121
228,0.125
229,0.121
230,0.124
231,0.116
232,0.126
233,0.137
234,0.126
235,0.133
236,0.122
237,0.123
238,0.123
239,0.13
240,0.123
241,0.123
242,0.122
243,0.127
244,0.124
245,0.123
246,0.12
247,0.125
248,0.123
249,0.126
250,0.13
251,0.124
252,0.123
253,0.122
254,0.127
255,0.124
256,0.123
257,0.123
258,0.127
259,0.123
260,0.122
261,0.121
262,0.121
263,0.124
264,0.12
265,0.121
266,0.124
267,0.123
268,0.126
269,0.123
270,0.126
271,0.123
272,0.123
273,0.124
274,0.123
275,0.118
276,0.122
277,0.126
278,0.125
279,0.121
280,0.123
281,0.117
282,0.122
283,0.121
284,0.122
285,0.121
286,0.121
287,0.124
288,0.124
289,0.121
290,0.132
291,0.116
292,0.121
293,0.124
294,0.128
295,0.126
296,0.125
297,0.124
298,0.126
299,0.126
300,0.123
301,0.124
302,0.14
303,0.139
304,0.125
305,0.124
306,0.117
307,0.12
308,0.122
309,0.127
310,0.124
311,0.122
312,0.122
313,0.125
314,0.122
315,0.129
316,0.123
317,0.127
318,0.121
319,0.124
320,0.122
321,0.124
322,0.123
323,0.124
324,0.122
325,0.125
326,0.123
327,0.125
328,0.122
329,0.122
330,0.124
331,0.122
332,0.125
333,0.119
334,0.122
335,0.12
336,0.124
337,0.128
338,0.122
339,0.125
340,0.127
341,0.122
342,0.123
343,0.126
344,0.12
345,0.127
346,0.122
347,0.121
348,0.121
349,0.125
350,0.121
351,0.124
352,0.123
353,0.124
354,0.118
355,0.124
356,0.124
357,0.118
358,0.122
359,0.123
360,0.121
361,0.125
362,0.124
363,0.122
364,0.122
365,0.123
366,0.109
367,0.128
368,0.121
369,0.117
370,0.118
371,0.127
372,0.119
373,0.116
374,0.135
375,0.123
376,0.121
377,0.128
378,0.127
379,0.147
380,0.121
381,0.125
382,0.126
383,0.121
384,0.14
385,0.123
386,0.116
387,0.126
388,0.119
389,0.126
390,0.119
391,0.123
392,0.121
393,0.122
394,0.119
395,0.123
396,0.121
397,0.122
398,0.121
399,0.12
400,0.117
401,0.122
402,0.122
403,0.121
404,0.123
405,0.123
406,0.124
407,0.122
408,0.122
409,0.12
410,0.122
411,0.129
412,0.12
413,0.134
414,0.124
415,0.124
416,0.121
417,0.12
418,0.123
419,0.124
420,0.126
421,0.121
422,0.121
423,0.124
424,0.125
425,0.126
426,0.125
427,0.12
428,0.123
429,0.124
430,0.117
431,0.127
432,0.126
433,0.125
434,0.126
435,0.126
436,0.124
437,0.122
438,0.126
439,0.11
440,0.126
441,0.124
442,0.122
443,0.131
444,0.152
445,0.13
446,0.123
447,0.123
448,0.12
449,0.126
450,0.123
451,0.125
452,0.124
453,0.127
454,0.126
455,0.127
456,0.127
457,0.123
458,0.124
459,0.121
460,0.124
461,0.122
462,0.129
463,0.126
464,0.124
465,0.123
466,0.124
467,0.117
468,0.127
469,0.121
470,0.122
471,0.119
472,0.124
473,0.117
474,0.123
475,0.125
476,0.119
477,0.128
478,0.125
479,0.125
480,0.128
481,0.122
482,0.124
483,0.128
484,0.121
