Iteration,Time (ms)
1,0.138
2,0.13
3,0.123
4,0.134
5,0.126
6,0.132
7,0.125
8,0.135
9,0.136
10,0.129
11,0.14
12,0.131
13,0.13
14,0.132
15,0.128
16,0.127
17,0.129
18,0.132
19,0.134
20,0.13
21,0.132
22,0.131
23,0.13
24,0.129
25,0.146
26,0.149
27,0.139
28,0.126
29,0.134
30,0.131
31,0.129
32,0.128
33,0.131
34,0.129
35,0.128
36,0.13
37,0.136
38,0.127
39,0.131
40,0.133
41,0.128
42,0.126
43,0.13
44,0.129
45,0.131
46,0.13
47,0.126
48,0.129
49,0.126
50,0.128
51,0.126
52,0.131
53,0.128
54,0.127
55,0.125
56,0.134
57,0.127
58,0.13
59,0.128
60,0.131
61,0.13
62,0.134
63,0.129
64,0.128
65,0.128
66,0.132
67,0.126
68,0.129
69,0.126
70,0.13
71,0.125
72,0.13
73,0.127
74,0.127
75,0.127
76,0.123
77,0.13
78,0.13
79,0.127
80,0.129
81,0.129
82,0.127
83,0.129
84,0.129
85,0.128
86,0.127
87,0.129
88,0.124
89,0.126
90,0.129
91,0.129
92,0.131
93,0.131
94,0.159
95,0.147
96,0.135
97,0.133
98,0.123
99,0.129
100,0.129
101,0.129
102,0.128
103,0.129
104,0.128
105,0.129
106,0.131
107,0.129
108,0.128
109,0.129
110,0.129
111,0.128
112,0.127
113,0.127
114,0.128
115,0.127
116,0.128
117,0.132
118,0.13
119,0.127
120,0.127
121,0.125
122,0.13
123,0.13
124,0.128
125,0.129
126,0.129
127,0.135
128,0.133
129,0.13
130,0.129
131,0.129
132,0.132
133,0.125
134,0.133
135,0.127
136,0.131
137,0.13
138,0.126
139,0.13
140,0.131
141,0.131
142,0.127
143,0.127
144,0.129
145,0.134
146,0.126
147,0.123
148,0.126
149,0.127
150,0.135
151,0.131
152,0.128
153,0.128
154,0.128
155,0.129
156,0.129
157,0.13
158,0.127
159,0.13
160,0.128
161,0.127
162,0.129
163,0.157
164,0.146
165,0.136
166,0.13
167,0.131
168,0.13
169,0.13
170,0.128
171,0.127
172,0.129
173,0.128
174,0.128
175,0.128
176,0.126
177,0.129
178,0.127
179,0.126
180,0.129
181,0.127
182,0.128
183,0.126
184,0.13
185,0.126
186,0.127
187,0.127
188,0.129
189,0.129
190,0.131
191,0.138
192,0.127
193,0.128
194,0.13
195,0.129
196,0.128
197,0.127
198,0.13
199,0.127
200,0.129
201,0.125
202,0.128
203,0.126
204,0.121
205,0.13
206,0.129
207,0.132
208,0.13
209,0.135
210,0.128
211,0.132
212,0.123
213,0.128
214,0.127
215,0.131
216,0.128
217,0.129
218,0.127
219,0.137
220,0.128
221,0.129
222,0.127
223,0.128
224,0.13
225,0.13
226,0.129
227,0.131
228,0.128
229,0.13
230,0.13
231,0.127
232,0.137
233,0.151
234,0.143
235,0.127
236,0.128
237,0.13
238,0.128
239,0.126
240,0.128
241,0.13
242,0.127
243,0.134
244,0.137
245,0.127
246,0.13
247,0.128
248,0.128
249,0.13
250,0.128
251,0.128
252,0.132
253,0.126
254,0.126
255,0.129
256,0.128
257,0.128
258,0.13
259,0.127
260,0.128
261,0.129
262,0.13
263,0.125
264,0.132
265,0.127
266,0.13
267,0.127
268,0.126
269,0.128
270,0.13
271,0.129
272,0.129
273,0.131
274,0.132
275,0.132
276,0.13
277,0.132
278,0.129
279,0.129
280,0.132
281,0.132
282,0.124
283,0.129
284,0.133
285,0.126
286,0.128
287,0.126
288,0.128
289,0.127
290,0.124
291,0.129
292,0.13
293,0.127
294,0.128
295,0.127
296,0.129
297,0.127
298,0.129
299,0.126
300,0.131
301,0.128
302,0.154
303,0.154
304,0.135
305,0.127
306,0.129
307,0.127
308,0.132
309,0.13
310,0.127
311,0.127
312,0.129
313,0.127
314,0.131
315,0.128
316,0.129
317,0.125
318,0.129
319,0.127
320,0.128
321,0.128
322,0.131
323,0.128
324,0.128
325,0.128
326,0.127
327,0.129
328,0.126
329,0.127
330,0.13
331,0.129
332,0.127
333,0.132
334,0.131
335,0.137
336,0.127
337,0.127
338,0.129
339,0.129
340,0.131
341,0.129
342,0.128
343,0.126
344,0.13
345,0.129
346,0.131
347,0.131
348,0.129
349,0.129
350,0.132
351,0.131
352,0.126
353,0.13
354,0.131
355,0.127
356,0.13
357,0.128
358,0.13
359,0.13
360,0.127
361,0.13
362,0.129
363,0.127
364,0.131
365,0.127
366,0.115
367,0.125
368,0.123
369,0.126
370,0.122
371,0.121
372,0.141
373,0.142
374,0.135
375,0.121
376,0.133
377,0.123
378,0.124
379,0.138
380,0.122
381,0.119
382,0.124
383,0.123
384,0.123
385,0.12
386,0.121
387,0.13
388,0.121
389,0.122
390,0.127
391,0.124
392,0.124
393,0.126
394,0.127
395,0.123
396,0.129
397,0.13
398,0.128
399,0.124
400,0.126
401,0.125
402,0.126
403,0.126
404,0.125
405,0.121
406,0.122
407,0.125
408,0.126
409,0.125
410,0.126
411,0.123
412,0.121
413,0.122
414,0.131
415,0.127
416,0.13
417,0.127
418,0.128
419,0.129
420,0.129
421,0.128
422,0.129
423,0.125
424,0.128
425,0.123
426,0.128
427,0.127
428,0.126
429,0.126
430,0.129
431,0.128
432,0.127
433,0.13
434,0.128
435,0.129
436,0.129
437,0.127
438,0.128
439,0.112
440,0.131
441,0.118
442,0.131
443,0.151
444,0.149
445,0.131
446,0.128
447,0.126
448,0.127
449,0.128
450,0.13
451,0.127
452,0.127
453,0.13
454,0.127
455,0.124
456,0.124
457,0.128
458,0.127
459,0.126
460,0.127
461,0.126
462,0.127
463,0.128
464,0.127
465,0.123
466,0.126
467,0.13
468,0.128
469,0.129
470,0.125
471,0.128
472,0.126
473,0.131
474,0.128
475,0.129
476,0.125
477,0.124
478,0.129
479,0.13
480,0.125
481,0.128
482,0.13
483,0.126
484,0.129
485,0.127
486,0.128
487,0.127
488,0.129
489,0.126
