Iteration,Time (ms)
1,0.265
2,0.118
3,0.115
4,0.116
5,0.113
6,0.117
7,0.111
8,0.12
9,0.11
10,0.116
11,0.12
12,0.115
13,0.112
14,0.118
15,0.113
16,0.111
17,0.112
18,0.11
19,0.113
20,0.11
21,0.111
22,0.114
23,0.113
24,0.114
25,0.128
26,0.13
27,0.114
28,0.114
29,0.111
30,0.11
31,0.114
32,0.11
33,0.118
34,0.112
35,0.113
36,0.113
37,0.114
38,0.11
39,0.11
40,0.111
41,0.113
42,0.115
43,0.116
44,0.112
45,0.109
46,0.112
47,0.113
48,0.115
49,0.112
50,0.116
51,0.117
52,0.111
53,0.111
54,0.112
55,0.111
56,0.112
57,0.116
58,0.118
59,0.109
60,0.111
61,0.113
62,0.113
63,0.111
64,0.112
65,0.113
66,0.113
67,0.109
68,0.113
69,0.113
70,0.113
71,0.109
72,0.112
73,0.112
74,0.112
75,0.111
76,0.112
77,0.115
78,0.116
79,0.111
80,0.113
81,0.112
82,0.11
83,0.112
84,0.107
85,0.113
86,0.117
87,0.117
88,0.117
89,0.113
90,0.118
91,0.11
92,0.115
93,0.112
94,0.11
95,0.136
96,0.114
97,0.113
98,0.117
99,0.114
100,0.111
101,0.114
102,0.114
103,0.11
104,0.113
105,0.112
106,0.112
107,0.113
108,0.113
109,0.111
110,0.114
111,0.111
112,0.114
113,0.115
114,0.11
115,0.111
116,0.113
117,0.111
118,0.11
119,0.108
120,0.113
121,0.114
122,0.116
123,0.11
124,0.115
125,0.114
126,0.112
127,0.113
128,0.123
129,0.128
130,0.111
131,0.115
132,0.114
133,0.113
134,0.113
135,0.114
136,0.11
137,0.113
138,0.115
139,0.117
140,0.118
141,0.111
142,0.114
143,0.11
144,0.108
145,0.113
146,0.112
147,0.114
148,0.117
149,0.112
150,0.113
151,0.112
152,0.111
153,0.113
154,0.11
155,0.115
156,0.114
157,0.114
158,0.109
159,0.11
160,0.111
161,0.117
162,0.112
163,0.112
164,0.133
165,0.118
166,0.111
167,0.109
168,0.107
169,0.112
170,0.11
171,0.112
172,0.113
173,0.114
174,0.113
175,0.113
176,0.11
177,0.112
178,0.109
